battle_participant_id,battle_id,trainer_id,team_side,pokemonid,slot_number,is_winner,fainted_flag,venue_type_match_flag,trainer_type_match_flag,venue_resistance_multiplier,base_power,adjusted_power,is_mvp_flag
BP0000001,B000001,T0123,home,760,1,1,0,0,0,1.0,527.2,546.87,1
BP0000002,B000001,T0127,away,267,1,0,1,0,0,0.25,416.3,462.19,0
BP0000003,B000002,T0027,home,51,1,1,0,0,1,2.0,451.45,469.04,1
BP0000004,B000002,T0164,away,374,1,0,1,0,0,1.0,314.0,356.28,0
BP0000005,B000003,T0100,home,108,1,0,1,0,0,1.0,401.65,443.37,0
BP0000006,B000003,T0129,away,579,1,1,0,0,0,1.0,513.35,511.98,1
BP0000007,B000004,T0171,home,108,1,1,0,0,0,1.0,401.65,415.2,0
BP0000008,B000004,T0171,home,122,2,1,1,0,1,1.0,486.8,521.8,0
BP0000009,B000004,T0171,home,683,3,1,0,0,1,0.5,482.9,530.81,1
BP0000010,B000004,T0150,away,526,1,0,0,0,0,1.0,539.55,566.05,0
BP0000011,B000004,T0150,away,338,2,0,0,0,0,2.0,484.75,487.19,0
BP0000012,B000005,T0147,home,145,1,1,0,0,0,1.0,611.0,662.04,0
BP0000013,B000005,T0147,home,430,2,1,0,0,0,1.0,531.12,566.68,0
BP0000014,B000005,T0147,home,127,3,1,0,0,1,1.0,634.25,683.64,1
BP0000015,B000005,T0076,away,92,1,0,1,0,0,1.0,330.85,371.34,0
BP0000016,B000005,T0076,away,113,2,0,1,0,0,1.0,476.55,506.34,0
BP0000017,B000005,T0076,away,72,3,0,1,0,0,1.0,354.4,395.16,0
BP0000018,B000006,T0115,home,301,1,0,0,0,0,1.0,422.75,432.85,0
BP0000019,B000006,T0115,home,691,2,0,1,0,1,0.5,516.44,551.11,0
BP0000020,B000006,T0115,home,558,3,0,1,1,0,1.0,508.55,551.41,0
BP0000021,B000006,T0167,away,560,1,1,0,0,0,1.0,511.16,541.37,0
BP0000022,B000006,T0167,away,764,2,1,0,0,0,0.5,511.61,558.23,1
BP0000023,B000006,T0167,away,205,3,1,0,1,0,0.5,487.75,548.49,0
BP0000024,B000007,T0086,home,768,1,1,0,1,1,0.5,555.55,651.86,1
BP0000025,B000007,T0086,home,428,2,1,0,0,0,1.0,615.13,648.38,0
BP0000026,B000007,T0042,away,46,1,0,1,0,1,0.5,298.1,352.0,0
BP0000027,B000007,T0042,away,139,2,0,1,1,0,1.0,520.55,585.07,0
BP0000028,B000008,T0038,home,551,1,0,0,0,1,0.5,309.81,351.3,0
BP0000029,B000008,T0038,home,545,2,0,1,0,0,1.0,513.89,539.08,0
BP0000030,B000008,T0041,away,561,1,1,0,0,1,2.0,517.48,542.07,1
BP0000031,B000008,T0041,away,575,2,1,0,0,1,2.0,409.85,420.45,0
BP0000032,B000009,T0144,home,40,1,1,0,1,1,1.0,456.7,512.33,0
BP0000033,B000009,T0144,home,474,2,1,1,0,1,1.0,564.6,585.17,1
BP0000034,B000009,T0144,home,559,3,1,1,0,0,4.0,365.76,345.53,0
BP0000035,B000009,T0173,away,174,1,0,1,1,0,1.0,220.5,269.88,0
BP0000036,B000009,T0173,away,64,2,0,0,0,0,1.0,427.7,448.01,0
BP0000037,B000009,T0173,away,290,3,0,1,0,1,1.0,280.45,319.48,0
BP0000038,B000010,T0090,home,391,1,0,0,0,0,1.0,426.76,435.7,0
BP0000039,B000010,T0090,home,394,2,0,1,0,0,1.0,424.48,421.37,0
BP0000040,B000010,T0090,home,760,3,0,0,0,0,2.0,527.2,509.94,0
BP0000041,B000010,T0042,away,46,1,1,1,0,1,1.0,298.1,344.54,0
BP0000042,B000010,T0042,away,139,2,1,0,0,0,1.0,520.55,560.37,1
BP0000043,B000010,T0042,away,291,3,1,1,0,1,1.0,487.95,516.02,0
BP0000044,B000011,T0082,home,755,1,0,0,0,0,1.0,297.75,329.0,0
BP0000045,B000011,T0126,away,748,1,1,0,0,1,1.0,514.34,565.19,1
BP0000046,B000012,T0013,home,477,1,1,1,0,0,2.0,547.4,560.87,0
BP0000047,B000012,T0013,home,484,2,1,0,0,0,1.0,714.5,769.24,1
BP0000048,B000012,T0124,away,225,1,0,1,0,1,1.0,348.7,375.62,0
BP0000049,B000012,T0124,away,91,2,0,1,0,1,1.0,552.5,568.78,0
BP0000050,B000013,T0059,home,773,1,1,0,0,0,1.0,598.5,614.45,1
BP0000051,B000013,T0093,away,748,1,0,1,0,1,1.0,514.34,557.73,0
BP0000052,B000014,T0096,home,266,1,1,0,0,1,1.0,214.85,244.64,0
BP0000053,B000014,T0096,home,214,2,1,1,0,1,1.0,633.55,655.78,1
BP0000054,B000014,T0096,home,414,3,1,0,0,1,1.0,445.44,463.16,0
BP0000055,B000014,T0082,away,113,1,0,1,0,0,1.0,476.55,485.69,0
BP0000056,B000014,T0082,away,71,2,0,1,1,0,1.0,514.3,552.8,0
BP0000057,B000015,T0004,home,513,1,0,0,0,0,1.0,332.82,359.94,0
BP0000058,B000015,T0136,away,623,1,1,1,0,0,0.25,507.97,602.12,1
BP0000059,B000016,T0144,home,559,1,0,1,1,0,2.0,365.76,402.97,0
BP0000060,B000016,T0144,home,780,2,0,0,0,1,2.0,508.57,544.18,0
BP0000061,B000016,T0144,home,474,3,0,0,0,1,2.0,564.6,568.5,0
BP0000062,B000016,T0123,away,281,1,1,0,0,1,0.25,293.85,350.74,0
BP0000063,B000016,T0123,away,250,2,1,1,0,0,0.5,714.2,732.62,1
BP0000064,B000016,T0123,away,528,3,1,0,0,0,0.25,450.94,499.75,0
BP0000065,B000017,T0024,home,259,1,1,1,0,0,1.0,424.8,473.32,1
BP0000066,B000017,T0087,away,140,1,0,1,0,1,1.0,374.0,401.16,0
BP0000067,B000018,T0028,home,237,1,0,1,0,0,1.0,479.0,510.92,0
BP0000068,B000018,T0028,home,147,2,0,1,0,1,0.5,315.67,367.77,0
BP0000069,B000018,T0036,away,727,1,1,0,0,1,2.0,555.65,567.76,0
BP0000070,B000018,T0036,away,6,2,1,1,0,0,2.0,668.37,699.3,1
BP0000071,B000019,T0163,home,615,1,1,0,0,0,1.0,545.95,584.37,1
BP0000072,B000019,T0091,away,262,1,0,1,0,0,1.0,442.6,445.57,0
BP0000073,B000020,T0028,home,373,1,1,0,0,1,1.0,737.25,775.37,1
BP0000074,B000020,T0028,home,705,2,1,0,0,1,1.0,474.89,502.67,0
BP0000075,B000020,T0028,home,339,3,1,1,0,0,1.0,303.69,333.74,0
BP0000076,B000020,T0052,away,783,1,0,1,0,1,0.5,441.05,513.85,0
BP0000077,B000020,T0052,away,29,2,0,1,0,0,1.0,289.03,335.36,0
BP0000078,B000020,T0052,away,759,3,0,1,0,0,0.5,358.0,417.27,0
BP0000079,B000021,T0179,home,370,1,0,1,0,1,2.0,350.24,389.91,0
BP0000080,B000021,T0176,away,737,1,1,0,1,1,0.5,418.48,501.68,1
