battle_id,battle_date,venue_id,battle_format,trainer_home_id,trainer_away_id,home_team_size,away_team_size,trainer_winner_id,trainer_loser_id,winning_side,battle_turns,winning_margin,title_match_flag,weather_condition,attendance
B000001,2025-07-11,V030,singles,T0123,T0127,1,1,T0123,T0127,home,5,84.68,0,Sunny,537
B000002,2025-12-03,V053,singles,T0027,T0164,1,1,T0027,T0164,home,8,112.76,0,Rain,518
B000003,2024-01-10,V008,singles,T0100,T0129,1,1,T0129,T0100,away,10,68.61,0,High Winds,231
B000004,2025-08-01,V003,triples,T0171,T0150,3,2,T0171,T0150,home,18,414.57,1,Breezy,586
B000005,2025-01-26,V007,triples,T0147,T0076,3,3,T0147,T0076,home,14,639.52,0,High Winds,1300
B000006,2025-04-24,V001,triples,T0115,T0167,3,3,T0167,T0115,away,24,112.72,1,Breezy,674
B000007,2025-01-23,V054,doubles,T0086,T0042,2,2,T0086,T0042,home,8,363.17,0,Rain,661
B000008,2024-06-13,V026,doubles,T0038,T0041,2,2,T0041,T0038,away,16,72.14,0,Fog,547
B000009,2026-02-19,V014,triples,T0144,T0173,3,3,T0144,T0173,home,15,405.66,0,Glittering,1618
B000010,2024-02-13,V014,triples,T0090,T0042,3,3,T0042,T0090,away,16,53.92,0,Glittering,1519
B000011,2025-08-13,V027,singles,T0082,T0126,1,1,T0126,T0082,away,8,236.19,0,Fog,746
B000012,2024-09-22,V005,doubles,T0013,T0124,2,2,T0013,T0124,home,10,385.71,0,Moonless,1308
B000013,2025-06-01,V030,singles,T0059,T0093,1,1,T0059,T0093,home,10,56.72,0,Sunny,628
B000014,2025-12-21,V042,triples,T0096,T0082,3,2,T0096,T0082,home,17,325.09,0,Smog,580
B000015,2025-03-22,V042,singles,T0004,T0136,1,1,T0136,T0004,away,9,242.18,0,Smog,786
B000016,2026-01-11,V016,triples,T0144,T0123,3,3,T0123,T0144,away,23,67.46,1,Clear,236
B000017,2024-05-22,V043,singles,T0024,T0087,1,1,T0024,T0087,home,15,72.16,0,Odd Aura,935
