trainer_id,trainer_name,trainer_class,home_region,hometown,preferred_type,secondary_type,experience_tier,strategy_rating,adaptability_rating,aggression_rating,years_experience,is_gym_leader,signature_pokemonid
T0001,Theo Stone,Forge Duelist,Johto,Goldenrod,fire,flying,Veteran,70,84,69,11,0,373
T0002,Quinn Hale,Steel Marshal,Kalos,Lumiose,steel,dark,Elite,72,62,76,13,0,379
T0003,Ari Cole,Martial Artist,Unova,Nimbasa,fighting,electric,Veteran,70,59,72,16,0,350
T0004,Logan Pike,Night Operative,Alola,Seafolk,dark,fire,Elite,78,69,74,14,1,537
T0005,Hayden Blaze,Glacier Keeper,Unova,Accumula,ice,rock,Elite,86,87,98,10,1,644
T0006,Parker Mason,Dragon Tamer,Johto,Violet,dragon,fairy,Elite,96,75,56,14,1,445
T0007,Taylor Blaze,Psychic,Hoenn,Slateport,psychic,rock,Elite,73,75,40,19,0,567
T0008,Skyler Vale,Backpacker,Kalos,Anistar,ground,normal,Veteran,70,68,62,6,0,474
T0009,Iris Dunn,Mind Reader,Hoenn,Mauville,psychic,flying,Elite,78,78,51,15,1,80
T0010,Milo West,Toxic Specialist,Kalos,Shalour,poison,ground,Novice,52,53,73,4,0,34
T0011,Logan Sable,Punk,Kanto,Celadon,dark,bug,Novice,67,53,56,1,0,411
T0012,Kendall Sable,Ace Trainer,Unova,Castelia,steel,fighting,Veteran,78,69,66,12,0,142
T0013,Zane Sable,Punk,Unova,Mistralton,dark,steel,Elite,82,78,61,9,1,484
T0014,Reese Sterling,Excavator,Kalos,Lumiose,ground,electric,Veteran,67,82,89,4,0,94
T0015,Lena Fox,Medium,Kanto,Vermilion,ghost,poison,Novice,65,45,97,2,0,94
T0016,Logan Rivers,Firebreather,Hoenn,Rustboro,fire,water,Veteran,86,49,46,4,1,655
T0017,Cameron Rowe,Hex Adept,Unova,Driftveil,psychic,dark,Veteran,76,53,77,5,0,635
T0018,Elliot Ashford,Psychic,Alola,Heahea,psychic,rock,Veteran,79,73,54,11,0,251
T0019,Nico Stone,Snow Scout,Sinnoh,Snowpoint,ice,fighting,Novice,53,56,60,5,0,91
T0020,Sage Lake,Psychic,Hoenn,Mauville,psychic,bug,Elite,76,76,92,17,0,289
T0021,Dakota Bloom,Snow Scout,Kanto,Vermilion,ice,grass,Novice,56,68,56,1,0,460
T0022,Sam Rowe,Bandit,Kanto,Pewter,dark,grass,Novice,46,55,76,2,0,94
T0023,Jules Frost,Sky Captain,Kalos,Couriway,dragon,fire,Veteran,66,65,83,5,0,652
T0024,Parker Cole,Ace Trainer,Hoenn,Slateport,flying,water,Novice,65,58,75,4,0,334
T0025,Luca Stone,Sky Captain,Unova,Mistralton,dragon,ice,Elite,75,73,58,11,0,475
T0026,Avery Bloom,Ace Trainer,Alola,Seafolk,ice,water,Champion,88,85,91,20,1,221
T0027,Toby Ember,Backpacker,Hoenn,Littleroot,ground,ice,Veteran,79,73,86,1,0,323
T0028,Sawyer Pike,Veteran,Johto,Goldenrod,dragon,ground,Veteran,66,68,67,6,0,373
T0029,Casey Hart,Punk,Johto,Violet,dark,fairy,Veteran,65,71,71,9,0,198
T0030,Hayden Dunn,Technician,Johto,Azalea,electric,steel,Elite,80,75,63,14,1,181
T0031,Reese Drake,Ace Trainer,Johto,Ecruteak,fire,psychic,Novice,53,54,74,2,0,260
T0032,Lena Meadows,Performer,Hoenn,Mauville,fairy,ice,Elite,91,85,72,12,1,384
T0033,Milo Drake,Medium,Hoenn,Slateport,ghost,electric,Veteran,68,62,61,5,0,471
T0034,Sawyer Dunn,Herbalist,Johto,Violet,grass,ice,Veteran,80,72,83,5,0,460
T0035,Micah Avery,Ace Trainer,Kalos,Couriway,fire,flying,Novice,69,52,77,9,0,681
T0036,Parker Drake,Bandit,Kanto,Pewter,dark,electric,Elite,85,81,98,15,1,6
T0037,Sawyer Cole,Sailor,Alola,Iki,water,dark,Veteran,74,74,69,3,0,260
T0038,Blake Lake,Ace Trainer,Sinnoh,Snowpoint,dark,poison,Veteran,75,65,67,9,0,475
T0039,Logan Sterling,Caretaker,Sinnoh,Hearthome,fairy,fighting,Veteran,72,57,80,9,0,700
T0040,Nico Bloom,Youngster,Kanto,Vermilion,normal,fighting,Champion,92,94,60,18,1,445
T0041,Nora Birch,Channeler,Johto,Violet,psychic,fire,Elite,84,85,54,16,1,289
T0042,Luca Gale,Collector,Unova,Driftveil,bug,rock,Elite,83,71,85,16,0,596
T0043,Micah Cross,Channeler,Johto,Ecruteak,ghost,flying,Veteran,75,69,77,5,1,354
T0044,Quinn Rowe,Field Researcher,Hoenn,Sootopolis,bug,water,Veteran,66,69,77,7,0,319
T0045,Zane Cross,Swimmer,Kalos,Coumarine,water,bug,Veteran,52,60,74,10,0,306
T0046,Iris Rowe,Ranger,Kanto,Cerulean,grass,ice,Novice,53,58,69,4,0,470
T0047,Toby Hart,Ace Trainer,Alola,Konikoni,flying,poison,Veteran,61,71,71,6,0,792
T0048,Mina Wells,Psychic,Alola,Heahea,psychic,water,Elite,83,72,69,15,1,127
T0049,Logan Stone,Pilot,Hoenn,Sootopolis,flying,dragon,Novice,49,51,86,2,0,706
T0050,Logan Gale,Ace Trainer,Alola,Konikoni,ice,ghost,Elite,73,79,94,14,1,365
T0051,Elliot Rowe,Ranger,Hoenn,Mauville,grass,fire,Novice,45,52,73,1,0,254
T0052,Skyler Rowe,Veteran,Kanto,Celadon,dragon,poison,Champion,94,85,48,15,1,334
T0053,Skyler Gale,Swimmer,Kalos,Couriway,water,ghost,Elite,85,63,80,11,1,135
